,index,0
1576,profite,106
1577,barons,52
1578,particulier,571
1579,marges,11
1580,bauduin,3
1581,louise,99
1582,conformes,16
1583,construisent,14
1584,autorisation,63
1585,mottes,5
1586,importance,303
1587,octroient,2
1588,produit,469
1589,intermittence,6
1590,finit,245
1591,mate,1
1592,rebelles,45
1593,renoue,21
1594,liens,107
1595,distendus,2
1596,signification,68
1597,lion,65
1598,montre,321
1599,visages,11
1600,capables,63
1601,proie,24
1602,meurt,272
1603,fritz,32
1604,haber,31
1605,breslau,9
1606,allemagne,510
1607,pologne,117
1608,suisse,738
1609,chimiste,21
1610,allemand,501
1611,nobel,30
1612,chimie,53
1613,ammoniac,2
1614,engrais,25
1615,explosifs,11
1616,arme,127
1617,chimique,47
1618,dichlore,1
1619,gaz,108
1620,toxiques,41
1621,juive,64
1622,contraint,102
1623,exil,84
1624,mourut,73
1625,bourgeoisie,48
1626,allemande,291
1627,faisait,180
1628,peintures,60
1629,chimiques,59
1630,semaines,182
1631,tint,23
1632,responsable,180
1633,tensions,82
1634,elisabeth,10
1635,gymnasium,4
1636,commencer,53
1637,formation,444
1638,travaille,156
1639,entreprise,273
1640,polytechnique,21
1641,zurich,222
1642,heidelberg,7
1643,bunsen,1
1644,berlin,135
1645,groupe,1214
1646,hoffmann,13
1647,technique,339
1648,charlottenburg,2
1649,carl,92
1650,liebermann,1
1651,abjure,3
1652,devenir,282
1653,protestant,55
1654,marie,484
1655,tournant,80
1656,clara,22
1657,immerwahr,4
1658,brillante,23
1659,nait,11
1660,hermann,27
1661,grossesse,49
1662,difficile,245
